model,noise,type,PSNR,MSE
admm_tv,gau10,original,29.4,0.0011456028450595925
admm_tv,gau10,denoised,31.5,0.000710719361557437
admm_tv,gau10,original,29.2,0.0012029138792772009
admm_tv,gau10,denoised,30.7,0.0008438813662790194
admm_tv,gau10,original,29.2,0.0012144367550941946
admm_tv,gau10,denoised,30.7,0.0008496758064521443
admm_tv,gau10,original,29.1,0.0012314886582083812
admm_tv,gau10,denoised,30.7,0.0008561551910904723
admm_tv,gau10,original,29.2,0.0011907139561707035
admm_tv,gau10,denoised,30.8,0.0008299332667336737
admm_tv,gau10,original,29.2,0.001203734332948866
admm_tv,gau10,denoised,30.8,0.0008323012717111133
admm_tv,gau10,original,29.3,0.0011759219530949635
admm_tv,gau10,denoised,30.9,0.0008096916209216689
admm_tv,gau10,original,29.3,0.00117878431372549
admm_tv,gau10,denoised,30.9,0.0008072174694319342
admm_tv,gau10,original,29.5,0.0011318273740868895
admm_tv,gau10,denoised,31.1,0.0007776577481797219
admm_tv,gau10,original,29.5,0.001122270280661284
admm_tv,gau10,denoised,31.2,0.0007546060486909603
admm_tv,gau10,original,29.7,0.0010802014609765473
admm_tv,gau10,denoised,31.4,0.0007228053820896638
admm_tv,gau10,original,29.3,0.0011741495578623602
admm_tv,gau10,denoised,31.3,0.0007435743380239528
admm_tv,gau10,original,29.7,0.001064042675893887
admm_tv,gau10,denoised,31.5,0.0007083014836465991
admm_tv,gau10,original,29.2,0.00119037908496732
admm_tv,gau10,denoised,31.1,0.0007714229812858576
admm_tv,gau10,original,29.2,0.0012057389465590154
admm_tv,gau10,denoised,31.0,0.0007938422975917989
admm_tv,gau10,original,29.1,0.0012314386774317568
admm_tv,gau10,denoised,30.8,0.0008273338745729651
admm_tv,gau10,original,29.1,0.0012214494425221067
admm_tv,gau10,denoised,30.8,0.0008270178630090534
admm_tv,gau10,original,29.1,0.0012290153787004993
admm_tv,gau10,denoised,30.8,0.0008341572389797897
admm_tv,gau10,original,29.1,0.0012416908881199538
admm_tv,gau10,denoised,30.8,0.0008321832587626119
admm_tv,gau10,original,29.1,0.0012182595155709342
admm_tv,gau10,denoised,30.8,0.0008395808280168474
admm_tv,gau10,original,29.1,0.0012423894655901574
admm_tv,gau10,denoised,30.9,0.0008103262681755975
admm_tv,gau10,original,29.0,0.001265106113033449
admm_tv,gau10,denoised,30.6,0.0008677855886996942
admm_tv,gau10,original,29.1,0.0012279723183391002
admm_tv,gau10,denoised,30.8,0.0008367267343144597
admm_tv,gau10,original,29.1,0.0012387773933102651
admm_tv,gau10,denoised,30.8,0.0008363295861892645
admm_tv,gau10,original,29.1,0.0012404083044982698
admm_tv,gau10,denoised,30.7,0.000856814773171509
admm_tv,gau10,original,29.0,0.0012518512110726646
admm_tv,gau10,denoised,30.7,0.0008544325600134088
admm_tv,gau10,original,29.2,0.0012065409457900807
admm_tv,gau10,denoised,30.8,0.0008367883416904269
admm_tv,gau10,original,29.2,0.001208872741253364
admm_tv,gau10,denoised,30.8,0.0008299798048347206
admm_tv,gau10,original,29.1,0.001228873510188389
admm_tv,gau10,denoised,30.8,0.0008316672609188977
admm_tv,gau10,original,29.3,0.0011829477124183005
admm_tv,gau10,denoised,31.0,0.0008003778746069871
admm_tv,gau10,original,29.4,0.0011524567474048442
admm_tv,gau10,denoised,31.1,0.0007757155277275756
admm_tv,gau10,original,29.1,0.0012392256824298347
admm_tv,gau10,denoised,30.9,0.0008067007141419563
admm_tv,gau10,original,29.4,0.0011443717800845828
admm_tv,gau10,denoised,31.2,0.0007539187088956764
admm_tv,gau10,original,29.1,0.0012304056132256822
