model,noise,type,PSNR,MSE
AE,gau10,original,29.41588121,0.001143963
AE,gau10,denoised,27.12055692,0.001940637
AE,gau10,original,29.17459219,0.001209319
AE,gau10,denoised,27.59043355,0.001741633
AE,gau10,original,29.15793138,0.001213967
AE,gau10,denoised,27.68765157,0.001703079
AE,gau10,original,29.07945325,0.001236103
AE,gau10,denoised,28.34663927,0.001463309
AE,gau10,original,29.23043919,0.001193867
AE,gau10,denoised,28.78799537,0.001321906
AE,gau10,original,29.18635378,0.001206048
AE,gau10,denoised,28.74994983,0.001333537
AE,gau10,original,29.27197216,0.001182504
AE,gau10,denoised,29.23089875,0.001193741
AE,gau10,original,29.29382997,0.001176568
AE,gau10,denoised,29.72482581,0.001065412
AE,gau10,original,29.45609303,0.00113342
AE,gau10,denoised,30.47700801,0.000895982
AE,gau10,original,29.4897466,0.001124671
AE,gau10,denoised,30.91229164,0.000810533
AE,gau10,original,29.66903014,0.001079188
AE,gau10,denoised,31.28369652,0.000744098
AE,gau10,original,29.30491927,0.001173567
AE,gau10,denoised,27.62929409,0.001726118
AE,gau10,original,29.74683714,0.001060025
AE,gau10,denoised,31.83690806,0.000655102
AE,gau10,original,29.23838059,0.001191686
AE,gau10,denoised,27.45295964,0.001797645
AE,gau10,original,29.18256762,0.0012071
AE,gau10,denoised,28.24300667,0.001498647
AE,gau10,original,29.09464111,0.001231788
AE,gau10,denoised,29.11310635,0.001226562
AE,gau10,original,29.12586099,0.001222965
AE,gau10,denoised,29.39074197,0.001150604
AE,gau10,original,29.10589294,0.001228601
AE,gau10,denoised,29.25912566,0.001186007
AE,gau10,original,29.04913126,0.001244764
AE,gau10,denoised,28.4337432,0.001434253
AE,gau10,original,29.12446585,0.001223358
AE,gau10,denoised,27.76652127,0.00167243
AE,gau10,original,29.04357752,0.001246356
AE,gau10,denoised,27.98487771,0.001590421
AE,gau10,original,28.930146,0.001279338
AE,gau10,denoised,31.07368329,0.000780965
AE,gau10,original,29.08499924,0.001234526
AE,gau10,denoised,31.00926068,0.000792636
AE,gau10,original,29.04566936,0.001245756
AE,gau10,denoised,30.47839801,0.000895695
AE,gau10,original,29.03341868,0.001249275
AE,gau10,denoised,29.64738296,0.00108458
AE,gau10,original,29.00543875,0.00125735
AE,gau10,denoised,29.57223863,0.00110351
AE,gau10,original,29.1646874,0.00121208
AE,gau10,denoised,30.5695312,0.000877095
AE,gau10,original,29.14398925,0.00121787
AE,gau10,denoised,31.60002558,0.000691827
AE,gau10,original,29.08467732,0.001234617
AE,gau10,denoised,31.89130756,0.000646948
AE,gau10,original,29.25930099,0.00118596
AE,gau10,denoised,32.24567869,0.000596255
AE,gau10,original,29.37503318,0.001154773
AE,gau10,denoised,33.26577714,0.000471436
AE,gau10,original,29.05942001,0.001241818
AE,gau10,denoised,27.15972584,0.001923213
AE,gau10,original,29.39704668,0.001148935
AE,gau10,denoised,33.15286301,0.000483853
AE,gau10,original,29.08699452,0.001233958
AE,gau10,denoised,27.68006072,0.001706059
AE,gau10,original,29.04928291,0.00124472
AE,gau10,denoised,27.1751804,0.001916381
AE,gau10,original,29.05051594,0.001244367
AE,gau10,denoised,27.42457571,0.001809433
AE,gau10,original,29.00148577,0.001258495
AE,gau10,denoised,28.94140976,0.001276025
AE,gau10,original,29.02028417,0.001253059
AE,gau10,denoised,29.85275759,0.001034485
AE,gau10,original,28.98956005,0.001261955
AE,gau10,denoised,30.05360744,0.000987732
AE,gau10,original,29.03541056,0.001248702
AE,gau10,denoised,30.71555887,0.000848094
AE,gau10,original,29.34381949,0.001163103
AE,gau10,denoised,26.35219558,0.002316223
AE,gau10,original,29.11992616,0.001224637
AE,gau10,denoised,29.71488293,0.001067854
AE,gau10,original,29.13228151,0.001221158
AE,gau10,denoised,29.93701149,0.001014609
AE,gau10,original,29.17385099,0.001209525
AE,gau10,denoised,31.14004833,0.000769122
AE,gau10,original,29.20004152,0.001202253
AE,gau10,denoised,31.49498227,0.000708764
AE,gau10,original,29.14188116,0.001218462
AE,gau10,denoised,31.53718917,0.000701909
AE,gau10,original,29.24388514,0.001190177
AE,gau10,denoised,31.31718158,0.000738383
AE,gau10,original,29.32510995,0.001168124
AE,gau10,denoised,31.1998498,0.000758604
AE,gau10,original,29.30271755,0.001174163
AE,gau10,denoised,31.53903546,0.000701611
AE,gau10,original,29.44729278,0.001135719
AE,gau10,denoised,31.62927427,0.000687183
AE,gau10,original,29.52496673,0.001115587
AE,gau10,denoised,31.81061824,0.00065908
AE,gau10,original,29.29979041,0.001174954
AE,gau10,denoised,26.1929736,0.002402717
AE,gau10,original,29.62267845,0.001090767
AE,gau10,denoised,31.29311682,0.000742486
AE,gau10,original,29.34611416,0.001162488
AE,gau10,denoised,27.32310759,0.001852206
AE,gau10,original,29.27722534,0.001181075
AE,gau10,denoised,28.60184401,0.001379798
AE,gau10,original,29.26616855,0.001184086
AE,gau10,denoised,29.9907396,0.001002135
AE,gau10,original,29.19903468,0.001202532
AE,gau10,denoised,30.16832184,0.000961984
AE,gau10,original,29.14046165,0.00121886
AE,gau10,denoised,30.39917385,0.000912184
AE,gau10,original,29.08014231,0.001235907
AE,gau10,denoised,30.24797574,0.000944501
AE,gau10,original,29.16051261,0.001213246
AE,gau10,denoised,29.68302333,0.001075716
AE,gau10,original,29.25234014,0.001187862
AE,gau10,denoised,28.76705425,0.001328295
AE,gau10,original,28.88724963,0.001292037
AE,gau10,denoised,28.94587876,0.001274712
AE,gau10,original,28.88287476,0.001293339
AE,gau10,denoised,29.07730763,0.001236714
AE,gau10,original,28.83707821,0.00130705
AE,gau10,denoised,29.38506558,0.001152109
AE,gau10,original,28.88719668,0.001292053
AE,gau10,denoised,29.56851446,0.001104456
AE,gau10,original,28.91122748,0.001284923
AE,gau10,denoised,29.96072417,0.001009085
AE,gau10,original,28.96008328,0.00127055
AE,gau10,denoised,30.81164619,0.000829536
AE,gau10,original,28.92522319,0.001280789
AE,gau10,denoised,30.84625192,0.000822953
AE,gau10,original,29.00106129,0.001258618
AE,gau10,denoised,31.3972881,0.000724888
AE,gau10,original,28.97016014,0.001267605
AE,gau10,denoised,31.72944879,0.000671514
AE,gau10,original,29.11835839,0.001225079
AE,gau10,denoised,31.76039463,0.000666746
AE,gau10,original,29.20157904,0.001201827
AE,gau10,denoised,27.87535714,0.001631039
AE,gau10,original,29.22728797,0.001194734
AE,gau10,denoised,32.35317917,0.000581677
AE,gau10,original,29.13213637,0.001221199
AE,gau10,denoised,28.07601126,0.001557395
AE,gau10,original,29.06658171,0.001239772
AE,gau10,denoised,29.92198383,0.001018126
AE,gau10,original,29.03064609,0.001250073
AE,gau10,denoised,29.52545555,0.001115461
AE,gau10,original,28.93945503,0.001276599
AE,gau10,denoised,28.60040603,0.001380255
AE,gau10,original,28.99482391,0.001260427
AE,gau10,denoised,29.17147984,0.001210186
AE,gau10,original,29.00126938,0.001258557
AE,gau10,denoised,29.34931587,0.001161632
AE,gau10,original,28.98145534,0.001264313
AE,gau10,denoised,29.07783777,0.001236563
AE,gau10,original,29.16639294,0.001211604
AE,gau10,denoised,26.38644825,0.002298027
AE,gau10,original,28.9383056,0.001276937
AE,gau10,denoised,27.60693897,0.001735026
AE,gau10,original,28.95842773,0.001271034
AE,gau10,denoised,28.25520129,0.001494445
AE,gau10,original,28.97778965,0.00126538
AE,gau10,denoised,29.9767493,0.001005368
AE,gau10,original,29.01808479,0.001253694
AE,gau10,denoised,30.24800776,0.000944494
AE,gau10,original,29.05845616,0.001242094
AE,gau10,denoised,30.45259498,0.000901033
AE,gau10,original,29.19339683,0.001204094
AE,gau10,denoised,31.11782939,0.000773067
AE,gau10,original,29.25643543,0.001186742
AE,gau10,denoised,32.46847687,0.000566438
AE,gau10,original,29.32517703,0.001168106
AE,gau10,denoised,33.04947469,0.00049551
AE,gau10,original,29.34888832,0.001161746
AE,gau10,denoised,33.43370125,0.000453555
AE,gau10,original,29.51891782,0.001117142
AE,gau10,denoised,33.59760205,0.000436757
AE,gau10,original,29.18205993,0.001207241
AE,gau10,denoised,27.50238808,0.001777302
AE,gau10,original,29.65068686,0.001083755
AE,gau10,denoised,34.05959379,0.000392682
AE,gau10,original,29.09838264,0.001230727
AE,gau10,denoised,27.8573749,0.001637806
AE,gau10,original,29.03295884,0.001249408
AE,gau10,denoised,28.25629307,0.001494069
AE,gau10,original,28.95034036,0.001273403
AE,gau10,denoised,29.50532317,0.001120644
AE,gau10,original,29.0308011,0.001250028
AE,gau10,denoised,29.3596203,0.001158879
AE,gau10,original,28.94913027,0.001273758
AE,gau10,denoised,29.85784976,0.001033273
AE,gau10,original,28.9273995,0.001280148
AE,gau10,denoised,29.24276076,0.001190485
