model,noise,type,PSNR,MSE
DnCNN,gau10,original,29.41588121,0.001143963
DnCNN,gau10,denoised,13.4684703,0.044993831
DnCNN,gau10,original,29.17459219,0.001209319
DnCNN,gau10,denoised,15.6906699,0.026973233
DnCNN,gau10,original,29.15793138,0.001213967
DnCNN,gau10,denoised,15.76776453,0.026498638
DnCNN,gau10,original,29.07945325,0.001236103
DnCNN,gau10,denoised,16.08676465,0.024622012
DnCNN,gau10,original,29.23043919,0.001193867
DnCNN,gau10,denoised,15.6393932,0.027293591
DnCNN,gau10,original,29.18635378,0.001206048
DnCNN,gau10,denoised,15.40964014,0.028776368
DnCNN,gau10,original,29.27197216,0.001182504
DnCNN,gau10,denoised,14.88298049,0.032486427
DnCNN,gau10,original,29.29382997,0.001176568
DnCNN,gau10,denoised,14.43802775,0.035991274
DnCNN,gau10,original,29.45609303,0.00113342
DnCNN,gau10,denoised,13.78651295,0.041816599
DnCNN,gau10,original,29.4897466,0.001124671
DnCNN,gau10,denoised,13.12827267,0.04866007
DnCNN,gau10,original,29.66903014,0.001079188
DnCNN,gau10,denoised,12.49666562,0.056277324
DnCNN,gau10,original,29.30491927,0.001173567
DnCNN,gau10,denoised,13.87912461,0.040934316
DnCNN,gau10,original,29.74683714,0.001060025
DnCNN,gau10,denoised,11.89033228,0.06470931
DnCNN,gau10,original,29.23838059,0.001191686
DnCNN,gau10,denoised,14.35412761,0.03669334
DnCNN,gau10,original,29.18256762,0.0012071
DnCNN,gau10,denoised,14.96279312,0.031894859
DnCNN,gau10,original,29.09464111,0.001231788
DnCNN,gau10,denoised,15.53306434,0.027970071
DnCNN,gau10,original,29.12586099,0.001222965
DnCNN,gau10,denoised,15.90196493,0.025692331
DnCNN,gau10,original,29.10589294,0.001228601
DnCNN,gau10,denoised,15.99696748,0.02513641
DnCNN,gau10,original,29.04913126,0.001244764
DnCNN,gau10,denoised,16.0002054,0.025117676
DnCNN,gau10,original,29.12446585,0.001223358
DnCNN,gau10,denoised,15.66077744,0.02715953
DnCNN,gau10,original,29.04357752,0.001246356
DnCNN,gau10,denoised,17.5161038,0.017716977
DnCNN,gau10,original,28.930146,0.001279338
DnCNN,gau10,denoised,17.29998085,0.018620953
DnCNN,gau10,original,29.08499924,0.001234526
DnCNN,gau10,denoised,16.93928865,0.020233506
DnCNN,gau10,original,29.04566936,0.001245756
DnCNN,gau10,denoised,17.00015667,0.019951903
DnCNN,gau10,original,29.03341868,0.001249275
DnCNN,gau10,denoised,16.56104045,0.022074758
DnCNN,gau10,original,29.00543875,0.00125735
DnCNN,gau10,denoised,16.52531744,0.022257084
DnCNN,gau10,original,29.1646874,0.00121208
DnCNN,gau10,denoised,15.78985413,0.026364199
DnCNN,gau10,original,29.14398925,0.00121787
