model,noise,type,PSNR,MSE
wiener,gau10,original,29.409659164816212,0.0011456028450595925
wiener,gau10,denoised,46.970887181209974,2.0086824349914943e-05
wiener,gau10,original,29.197654641759637,0.0012029138792772009
wiener,gau10,denoised,47.30205609921604,1.861205769318697e-05
wiener,gau10,original,29.156250972679015,0.0012144367550941946
wiener,gau10,denoised,47.214252911775034,1.899217523897773e-05
wiener,gau10,original,29.09569583581433,0.0012314886582083812
wiener,gau10,denoised,47.162030112360256,1.922192988514335e-05
wiener,gau10,original,29.241925560461357,0.0011907139561707035
wiener,gau10,denoised,47.112598011252146,1.9441966876155893e-05
wiener,gau10,original,29.19469352335225,0.001203734332948866
wiener,gau10,denoised,47.06943713743646,1.9636147524650234e-05
wiener,gau10,original,29.29621501784534,0.0011759219530949635
wiener,gau10,denoised,46.97194822800133,2.0081917435810813e-05
wiener,gau10,original,29.28565652010939,0.00117878431372549
wiener,gau10,denoised,46.8444878712472,2.0680032306251524e-05
wiener,gau10,original,29.46219806538597,0.0011318273740868895
wiener,gau10,denoised,46.745801959667844,2.11553299899823e-05
wiener,gau10,original,29.49902537675295,0.001122270280661284
wiener,gau10,denoised,46.540793563585275,2.217791137402329e-05
wiener,gau10,original,29.664952396695046,0.0010802014609765473
wiener,gau10,denoised,46.26248017599678,2.364568949943896e-05
wiener,gau10,original,29.302765810973337,0.0011741495578623602
wiener,gau10,denoised,47.0089697732805,1.991145619482901e-05
wiener,gau10,original,29.73040953306433,0.001064042675893887
wiener,gau10,denoised,46.060612052267615,2.4770729385425906e-05
wiener,gau10,original,29.243147123115353,0.00119037908496732
wiener,gau10,denoised,47.07486622177594,1.961161585332526e-05
wiener,gau10,original,29.187467107209702,0.0012057389465590154
wiener,gau10,denoised,47.15663807563273,1.9245809930586015e-05
wiener,gau10,original,29.095872100661268,0.0012314386774317568
wiener,gau10,denoised,47.27565285918065,1.8725555673554558e-05
wiener,gau10,original,29.13124504366413,0.0012214494425221067
wiener,gau10,denoised,47.365158626404934,1.8343581658162164e-05
wiener,gau10,original,29.10442682741716,0.0012290153787004993
wiener,gau10,denoised,47.36569302814043,1.834132460927392e-05
wiener,gau10,original,29.059865058440167,0.0012416908881199538
wiener,gau10,denoised,47.33623629846668,1.8466150474221712e-05
wiener,gau10,original,29.142601877498198,0.0012182595155709342
wiener,gau10,denoised,47.267909798206546,1.875897135272615e-05
wiener,gau10,original,29.057422397130626,0.0012423894655901574
wiener,gau10,denoised,47.3939868805764,1.8222221103363905e-05
wiener,gau10,original,28.97873045735492,0.001265106113033449
wiener,gau10,denoised,47.53427294784722,1.7643011013046876e-05
wiener,gau10,original,29.108114232014323,0.0012279723183391002
wiener,gau10,denoised,47.46224099774672,1.7938077673828788e-05
wiener,gau10,original,29.07006728767455,0.0012387773933102651
wiener,gau10,denoised,47.43917560535486,1.8033600291727908e-05
wiener,gau10,original,29.064353348357912,0.0012404083044982698
wiener,gau10,denoised,47.41510192021551,1.8133841188785786e-05
wiener,gau10,original,29.024472861815482,0.0012518512110726646
