model,noise,type,PSNR,MSE
admm_dncnn,gau10,original,29.409659164816212,0.0011456028450595925
admm_dncnn,gau10,denoised,29.55629913575992,0.001107567201414927
admm_dncnn,gau10,original,29.197654641759637,0.0012029138792772009
admm_dncnn,gau10,denoised,29.21680059896309,0.0011976224820895542
admm_dncnn,gau10,original,29.156250972679015,0.0012144367550941946
admm_dncnn,gau10,denoised,29.18791605075611,0.0012056143120624096
admm_dncnn,gau10,original,29.09569583581433,0.0012314886582083812
admm_dncnn,gau10,denoised,29.12062495398098,0.0012244399884823536
admm_dncnn,gau10,original,29.241925560461357,0.0011907139561707035
admm_dncnn,gau10,denoised,29.246485619837213,0.0011894643716197908
admm_dncnn,gau10,original,29.19469352335225,0.001203734332948866
admm_dncnn,gau10,denoised,29.196468644823014,0.0012032424229387766
admm_dncnn,gau10,original,29.29621501784534,0.0011759219530949635
admm_dncnn,gau10,denoised,29.328159575729433,0.0011673041846649351
admm_dncnn,gau10,original,29.28565652010939,0.00117878431372549
admm_dncnn,gau10,denoised,29.323705848627228,0.0011685018791203748
admm_dncnn,gau10,original,29.46219806538597,0.0011318273740868895
admm_dncnn,gau10,denoised,29.507954025384,0.0011199653783277599
admm_dncnn,gau10,original,29.49902537675295,0.001122270280661284
admm_dncnn,gau10,denoised,29.57472093558641,0.0011028790992263404
admm_dncnn,gau10,original,29.664952396695046,0.0010802014609765473
admm_dncnn,gau10,denoised,29.781106654455485,0.0010516938506195366
admm_dncnn,gau10,original,29.302765810973337,0.0011741495578623602
admm_dncnn,gau10,denoised,29.446898276562862,0.0011358217279123226
admm_dncnn,gau10,original,29.73040953306433,0.001064042675893887
admm_dncnn,gau10,denoised,29.87494106992889,0.001029214492665848
admm_dncnn,gau10,original,29.243147123115353,0.00119037908496732
admm_dncnn,gau10,denoised,29.364473517735625,0.0011575843540898845
admm_dncnn,gau10,original,29.187467107209702,0.0012057389465590154
admm_dncnn,gau10,denoised,29.279552906468872,0.001180442152481226
admm_dncnn,gau10,original,29.095872100661268,0.0012314386774317568
admm_dncnn,gau10,denoised,29.143122347211946,0.001218113524955085
admm_dncnn,gau10,original,29.13124504366413,0.0012214494425221067
admm_dncnn,gau10,denoised,29.143064454823453,0.0012181297627785837
admm_dncnn,gau10,original,29.10442682741716,0.0012290153787004993
admm_dncnn,gau10,denoised,29.152203980486497,0.001215568960758551
admm_dncnn,gau10,original,29.059865058440167,0.0012416908881199538
admm_dncnn,gau10,denoised,29.109052934741484,0.0012277069278157926
admm_dncnn,gau10,original,29.142601877498198,0.0012182595155709342
admm_dncnn,gau10,denoised,29.186324711344728,0.0012060561535289895
admm_dncnn,gau10,original,29.057422397130626,0.0012423894655901574
admm_dncnn,gau10,denoised,29.119664303280484,0.0012247108621140346
admm_dncnn,gau10,original,28.97873045735492,0.001265106113033449
admm_dncnn,gau10,denoised,29.084835625686146,0.001234572041090617
admm_dncnn,gau10,original,29.108114232014323,0.0012279723183391002
admm_dncnn,gau10,denoised,29.17308478160261,0.0012097385543842411
admm_dncnn,gau10,original,29.07006728767455,0.0012387773933102651
admm_dncnn,gau10,denoised,29.15246579320003,0.0012154956828725266
admm_dncnn,gau10,original,29.064353348357912,0.0012404083044982698
admm_dncnn,gau10,denoised,29.147649983544625,0.0012168442706996178
admm_dncnn,gau10,original,29.024472861815482,0.0012518512110726646
admm_dncnn,gau10,denoised,29.14165380257296,0.001218525493479056
admm_dncnn,gau10,original,29.18457935065641,0.0012065409457900807
admm_dncnn,gau10,denoised,29.252995842931266,0.0011876826595273013
admm_dncnn,gau10,original,29.17619415169312,0.001208872741253364
admm_dncnn,gau10,denoised,29.26576742113641,0.0011841950950213706
admm_dncnn,gau10,original,29.104928174018397,0.001228873510188389
admm_dncnn,gau10,denoised,29.21564555073291,0.0011979410437464235
admm_dncnn,gau10,original,29.27034451238562,0.0011829477124183005
admm_dncnn,gau10,denoised,29.347756945711197,0.0011620486364717192
admm_dncnn,gau10,original,29.38375365041044,0.0011524567474048442
admm_dncnn,gau10,denoised,29.444479317699372,0.0011364545407740296
admm_dncnn,gau10,original,29.068495945855354,0.0012392256824298347
admm_dncnn,gau10,denoised,29.14725422671535,0.0012169551623625562
admm_dncnn,gau10,original,29.4143286032558,0.0011443717800845828
admm_dncnn,gau10,denoised,29.492771277055144,0.001123887581060198
admm_dncnn,gau10,original,29.099516962460104,0.0012304056132256822
admm_dncnn,gau10,denoised,29.19522353721712,0.0012035874379309306
admm_dncnn,gau10,original,29.091116813465142,0.0012327877739331027
admm_dncnn,gau10,denoised,29.205596443489647,0.001200716159909421
admm_dncnn,gau10,original,29.0674531906282,0.0012395232602845062
admm_dncnn,gau10,denoised,29.154244392149092,0.0012149979936756199
admm_dncnn,gau10,original,29.02137954391263,0.0012527431757016533
admm_dncnn,gau10,denoised,29.081527690440375,0.0012355127484309978
admm_dncnn,gau10,original,29.036797320211267,0.001248303729334871
admm_dncnn,gau10,denoised,29.089170166479093,0.001233340472762851
